project_id;Id_razn;mean_words_comment;count_comments;id;assignee_id;creator_id;overall_worklogs;summary_to_eng;Year;Month;Day;Hour;DayOfWeek;Mesto_in_project;Text_Summa
5;123;17;3;819896;207;54;59400;The board did not update the money after downloading through the terminal;2019;10;3;10;4;0.442307692307692;The board did not update the money after downloading through the terminal So far I've only implemented a terminal emulatorMR per refactorAccepted the changes
5;0;3;1;819889;8;8;10800;Sprint 70;2019;10;3;10;4;0.5;Sprint 70 Old subtask. close
5;1;8;2;819886;8;8;57600;Release of NambaTaxi Client iOS 4.31.26;2019;10;3;10;4;0.519230769230769;"Release of NambaTaxi Client iOS 4.31.26 Released namba taxi client application with version 4;31;26(25)Pro release October 29"
5;0;6;1;819883;1;1;1200;DataStorage.java line 220;2019;10;3;12;4;0.557692307692308;"DataStorage.java line 220 the ticket is not relevant; the changes were not accepted"
5;0;0;0;819882;1;1;1800;Table.java line 682;2019;10;3;12;4;0.576923076923077;Table.java line 682
5;2;6.66666666666667;3;819880;264;264;20760;Write documentation to fix an error with taking two orders by one driver;2019;10;3;12;4;0.596153846153846;Write documentation to fix an error with taking two orders by one driver Link to DocumentationAccepted Vanish's challengeAdded documentation to the project
5;0;9;1;819877;264;1;13800;Convert the report to a new format (taxi-dashboard);2019;10;3;12;4;0.615384615384615;Convert the report to a new format (taxi-dashboard) gitlab
5;984;37;3;819875;264;1;30960;Add new fields to the reconciliation act report (taxi-dashboard);2019;10;3;12;4;0.634615384615385;Add new fields to the reconciliation act report (taxi-dashboard) New fields that appearedHelped Zhenish to understand the logic of corp orders!screenshot-1.png|!
5;0;0;0;819871;1;1;114600;Modify the logic of working with the cost of a corp order (taxi-dashboard));2019;10;3;13;4;0.653846153846154;Modify the logic of working with the cost of a corp order (taxi-dashboard))
5;0;3;1;819868;93;93;3600;Sprint 70;2019;10;3;13;4;0.692307692307692;Sprint 70 Old subtask. close
5;1027;46.75;4;819863;94;8;63600;Release NambaTaxi Client Android 5.2.53;2019;10;3;14;4;0.711538461538462;Release NambaTaxi Client Android 5.2.53 Samsung A6NT-10890 - Feedback on order status change in NT client android 5.2.53(150){no format}Released the app for sale
5;0;0;0;819855;1;207;27600;Set up processes for the entire team;2019;10;3;18;4;0.769230769230769;Set up processes for the entire team
5;0;15;1;819852;54;54;18000;Write a resume on meeting with customers;2019;10;4;2;5;0.788461538461538;Write a resume on meeting with customers * Described the meeting summary [https://docs.google.com/document/d/1sftHG3LtXz6PPky8qMs0kU4P5XnrPLcZF2bf6NQC9mY/edit?usp=sharing]
5;303;5;2;819850;94;94;23400;Prepare a test environment.;2019;10;4;5;5;0.807692307692308;Prepare a test environment. Prepared a test environment and blocked the zone data.checked and accepted
5;0;0;0;819848;94;94;15300;Rewrite tests for fixed zones;2019;10;4;5;5;0.826923076923077;Rewrite tests for fixed zones
5;307;3.5;2;819846;94;94;21600;Rewrite tests for charged zones;2019;10;4;5;5;0.846153846153846;Rewrite tests for charged zones Rewrite tests for billed zones.Accepted MR
5;0;21;1;819832;207;54;9600;Make an icon preview when entering a link in the tariff settings for customers;2019;10;7;12;1;0.961538461538462;Make an icon preview when entering a link in the tariff settings for customers Made a preview of the picture inserted by URL.
5;0;0;0;819827;1;1;7200;DemirPrepareActivity.java line 115;2019;10;7;18;1;1;DemirPrepareActivity.java line 115
5;3150;26;2;819822;1;1;7200;RealConnection.java line 304;2019;10;7;18;1;1.03846153846154;"RealConnection.java line 304 # Poriserchila found only one source; which says that they solved such an error by changing the hhtp3 libraryOld crash; close"
5;0;0;0;819821;54;54;7200;Unsubscribe post-mortem on the problem with surcharge zones on October 1st;2019;10;8;3;2;1.05769230769231;Unsubscribe post-mortem on the problem with surcharge zones on October 1st
5;0;6;1;819816;1;1;7200;WaitCarFragment.kt line 205;2019;10;8;5;2;1.07692307692308;WaitCarFragment.kt line 205 Added check for null or not
5;0;13;1;819813;1;1;19800;PushNotificationReceiver.java;2019;10;8;5;2;1.09615384615385;PushNotificationReceiver.java Almost all crashes from PushNotification class -- NullPointExceptions
5;0;6;1;819811;1;1;3600;TariffsVM.kt;2019;10;8;5;2;1.11538461538462;TariffsVM.kt Added check for null or not
5;284;12;2;819808;1;1;3600;HistoryMenuFragment.kt line 154;2019;10;8;5;2;1.13461538461538;"HistoryMenuFragment.kt line 154 added a check for Context != nullsingle crash; was last caught 3 months ago; but the fix got into the dev; so I'm closing the task"
5;108;4.5;2;819802;1;1;1800;PushNotificationReceiver.java line 41;2019;10;8;6;2;1.19230769230769;PushNotificationReceiver.java line 41 Added check for null or notChecked and stinked
5;178;8;2;819791;1;1;5400;EditFavorite.java line 202;2019;10;8;6;2;1.28846153846154;"EditFavorite.java line 202 Added check for if(new TariffItem != null)changes in dev; close the ticket"
5;13;5;2;819788;1;1;7200;OsSharedRealm.java;2019;10;8;6;2;1.30769230769231;"OsSharedRealm.java added realm.getInstance().close() before deleting realmI checked; I accept MR"
5;97;11.5;2;819786;1;1;3600;PushNotificationReceiver.java line 50;2019;10;8;6;2;1.32692307692308;"PushNotificationReceiver.java line 50 java.util.Set java.util.Map.entrySet()' refers to null. To solve this problem; I added a check for null or notChecked and checked"
5;98;7.5;2;819782;1;1;1800;PushNotificationReceiver.java line 78;2019;10;8;6;2;1.36538461538462;PushNotificationReceiver.java line 78 Added a check for notification.context != nullChecked and checked
5;95;4;2;819781;1;1;1800;PushNotificationReceiver.java line 85;2019;10;8;6;2;1.38461538461538;PushNotificationReceiver.java line 85 Added a check for context != nullChecked and died
5;3038;12;2;819780;1;1;10800;Binder.java;2019;10;8;6;2;1.40384615384615;"Binder.java http://www.nickagas.com/android-media-mediaplayer-native_finalize-timed-out-after-10-seconds/Old crash; close"
5;177;10;2;819779;93;93;10800;"The ""Help"" section on the stage does not work";2019;10;8;8;2;1.42307692307692;"The ""Help"" section on the stage does not work Figured out the cause of the bug. The code did not specify the case of filling phones when working on the stage.Checked and accepted by MR"
5;0;0;0;819778;1;54;84000;Communication and non-coding time (Sprint 71);2019;10;8;9;2;1.44230769230769;Communication and non-coding time (Sprint 71)
5;32;5;2;819777;1;1;7200;Set select_for_update driver profile when working with billing;2019;10;8;10;2;1.46153846153846;Set select_for_update driver profile when working with billing https://gitlab.com/TaxiNamba/taxi-dashboard/merge_requests/590Deployed fix
5;134;3.5;2;819776;94;94;3600;Protest the display of the end price in the client application;2019;10;9;4;3;1.48076923076923;"Protest the display of the end price in the client application Tested everything works.Tested personally; everything works"
5;177;6.66666666666667;3;819775;1;1;3600;EditFavorite.java line 202;2019;10;9;11;3;1.5;EditFavorite.java line 202 added check for null or notIt gave an error: NullpointerException. Added check:Accepted MR
5;252;2;2;819770;94;94;5400;Ask the task to study FireRemoteConfig;2019;10;9;14;3;1.55769230769231;Ask the task to study FireRemoteConfig Connected FireBaseRemoteConfigBroke down the task.
5;120;5;2;819768;94;94;35100;Connect FireRemoteConfig and create an update window.;2019;10;9;14;3;1.57692307692308;"Connect FireRemoteConfig and create an update window. Connected FireBase Remote Config. Added notification windows.checked; accepted MR"
5;122;5;2;819765;94;94;18000;Cover with tests RemoteConfig in the driver app;2019;10;9;14;3;1.61538461538462;Cover with tests RemoteConfig in the driver app Covered with tests. All three cases of update notification.Accepted MR
5;0;6;1;819763;8;8;9000;Collect and transfer Airport Taxi;2019;10;10;4;4;1.63461538461538;"Collect and transfer Airport Taxi Received prilu; tested and handed over to Bekzhan"
5;140;2.5;2;819761;94;54;19800;Change the design of the Aeroport-taxi driver application;2019;10;10;4;4;1.65384615384615;Change the design of the Aeroport-taxi driver application Changed the designChecked accepted MR
5;144;3.5;2;819759;94;54;18000;Change app accent colors from gold to blue;2019;10;10;5;4;1.67307692307692;Change app accent colors from gold to blue Changed the color of the prila.Checked changed
5;0;0;0;819756;1;1;3000;edits on aeroport.swift.kg;2019;10;10;7;4;1.71153846153846;edits on aeroport.swift.kg
5;0;4;1;819754;8;8;3000;Raise and transfer apk DemoTaxi;2019;10;10;10;4;1.73076923076923;Raise and transfer apk DemoTaxi Application received and tested
5;295;7.33333333333333;3;819751;264;264;110640;Rewrite the calculation of the cost of orders, taking into account VAT, VAT and commission ( taxi-dashboard );2019;10;10;11;4;1.75;Rewrite the calculation of the cost of orders, taking into account VAT, VAT and commission ( taxi-dashboard ) Nifiga is not understood what and how to calculate. Write out the task in more detailgitlabSmergil change
5;0;0;0;819750;54;54;600;Give Bekzhan access to the taxi demo;2019;10;11;3;5;1.76923076923077;Give Bekzhan access to the taxi demo
5;0;3;1;819744;54;54;7800;Sale drop (October 11);2019;10;12;2;6;1.84615384615385;Sale drop (October 11) [^Postmortem. Rain.pdf]
5;0;0;0;819742;82;82;7200;Fixing problems with logging into the driver's application.;2019;10;13;7;7;1.86538461538462;Fixing problems with logging into the driver's application.
5;3103;16.3333333333333;3;819737;1;54;3300;Set up a VPN for Alia;2019;10;14;10;1;1.90384615384615;Set up a VPN for Alia OK.so generated vpn certificateCommunication with Aliya and Astashov clarified the requirements and details. I generated the key according to the instructions described above and sent it to Aliya's mail.
5;92;5;2;819734;94;94;15300;Fix the opening of the notification window with an active order.;2019;10;14;16;1;1.94230769230769;Fix the opening of the notification window with an active order. Fixed added check for active order.Trusted and accepted MR
5;0;0;0;819732;54;54;5400;Create G-Suit on the account of taxi drivers;2019;10;15;5;2;1.96153846153846;Create G-Suit on the account of taxi drivers
5;330;29.6666666666667;3;819730;54;54;1200;"Create a developer account in the AppStore and Play Market for the release of the ""Taxi 37"" service";2019;10;15;5;2;1.98076923076923;"Create a developer account in the AppStore and Play Market for the release of the ""Taxi 37"" service Delegated the task to Ulukman; since when registering a developer account; you must specify the data of the payment method for the accountThe task has been reopened; as it has not been completed; and as part of it; Ulukman will be assisted with settings when connecting developer accounts in the AppStore and Play MarketThe task was transferred to Ulukman and closed by him in Basecamp https://public.3.basecamp.com/p/eFrc8MmoanoiZV4iv58QBajj"
5;713;11;3;819728;54;54;32100;Testing NambaTaxi Client Android 5.2.53;2019;10;15;6;2;2;"Testing NambaTaxi Client Android 5.2.53 Test Resolution https://pm.maddevs.co/browse/NT-10784?focusedCommentId=66231&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-66231TestedBugs are caught and fixed; the app will need to be re-tested"
5;1;18;2;819726;54;54;6000;Testing NambaTaxi Driver 0.4.30;2019;10;15;6;2;2.01923076923077;Testing NambaTaxi Driver 0.4.30 Tested the driver application according to the checklist - [https://docs.google.com/spreadsheets/d/14n4uVZAPR2bmowJxlwE8ADOk3kPMARm42rM3PwCYsJw/edit?usp=sharing]The build has been tested and is ready for release.
5;473;152.4;5;819723;206;54;26100;Testing NambaTaxi Client iOS 4.31.26 (20);2019;10;15;6;2;2.03846153846154;Testing NambaTaxi Client iOS 4.31.26 (20) iPhone 8[~Aisa Tashmatova] for all the bugs unsubscribed above:Android - 5.2.53 (148)Regression 148 version of the android applicationPro release
5;0;2;1;819718;1;54;219600;Communication, Non-coding, Admin Duty (Sprint 72-73);2019;10;15;8;2;2.05769230769231;Communication, Non-coding, Admin Duty (Sprint 72-73) sprint closed
5;0;0;0;819716;82;82;7200;Problems in the operating room;2019;10;15;13;2;2.07692307692308;Problems in the operating room
5;3;10.5;2;819713;93;8;19800;Check why iOS events are not being added to the list of events in Firebase analytics and fix them;2019;10;16;4;3;2.11538461538462;Check why iOS events are not being added to the list of events in Firebase analytics and fix them I found the cause of the bug with Firebase Analytics - I wrote it in detail in the worklogs to the ticket. Prepared by MR Aysalkyn - wrote to her in the group.Accepted MR
5;17;6.5;2;819711;1;1;13500;Rewrite order completion (taxi-billing);2019;10;16;6;3;2.13461538461538;"Rewrite order completion (taxi-billing) https://gitlab.com/TaxiNamba/taxi-billing/merge_requests/31Checked MR; smergil in master"
5;3;11;2;819706;264;264;9000;Rewrite the calculation of the cost of orders, taking into account VAT, VAT and commission ( taxi-corp-site );2019;10;17;6;4;2.21153846153846;Rewrite the calculation of the cost of orders, taking into account VAT, VAT and commission ( taxi-corp-site ) https://gitlab.com/TaxiNamba/taxi-corp-site/merge_requests/47Smergil MPs in a branch
5;0;0;0;819705;1;1;101220;Employee Travel Report Update (taxi-corp-site);2019;10;17;7;4;2.23076923076923;Employee Travel Report Update (taxi-corp-site)
5;100;2.5;2;819703;94;94;10800;Protest the ios client application according to the checklist.;2019;10;17;8;4;2.25;Protest the ios client application according to the checklist. Not relevantBald has already been released
5;434;2.5;2;819701;94;94;19800;Protest with the handles of the driver's application (Airoport taxi).;2019;10;17;8;4;2.26923076923077;Protest with the handles of the driver's application (Airoport taxi). Protest works fine.Tested. close
5;0;0;0;819699;94;94;6300;Test additional payment for options.;2019;10;17;8;4;2.28846153846154;Test additional payment for options.
5;0;15;1;819697;1;1;7200;Add adjustment calculation (taxi-corp-site);2019;10;17;8;4;2.30769230769231;Add adjustment calculation (taxi-corp-site) Added adjustment calculation to the adjustment card
5;402;36.5;2;819694;1;54;11400;Testing NambaTaxi Client Android 5.2.53(148) (Staging);2019;10;17;9;4;2.34615384615385;"Testing NambaTaxi Client Android 5.2.53(148) (Staging) As for me;Tested; close"
5;0;21;1;819692;82;82;17400;Nambataxi duty;2019;10;17;12;4;2.36538461538462;"Nambataxi duty The task is closed since we have the task ""Communication; Non-coding; Admin Duty"" in each sprint; admin time is now tracked there"
5;0;11;1;819687;8;8;900;Generate .cer certificate for networking iOS NT client;2019;10;18;8;5;2.40384615384615;"Generate .cer certificate for networking iOS NT client I tested all the push notifications on ios staging; they come normally; the ticket is not relevant"
5;0;4;1;819684;82;82;9600;Solving problems with the aeroporttaxi service;2019;10;18;12;5;2.44230769230769;"Solving problems with the aeroporttaxi service Feedback processed; service transferred"
5;31;19.3333333333333;3;819681;207;93;15600;When deleting personal data from the application profile, the data still remains (android client);2019;10;21;6;1;2.46153846153846;"When deleting personal data from the application profile, the data still remains (android client) I took the task because it is the area of ​​responsibility of the back.Corrected the code; making it possible to reset field valuesChecked MR"
5;74;48.5;2;819679;1;1;9900;Test Client Application(IOS) staging;2019;10;21;6;1;2.48076923076923;"Test Client Application(IOS) staging Tested the Android Client Application:Tested; I'm closing the issue"
5;300;29;4;819677;1;1;9000;Test Driving App;2019;10;21;6;1;2.5;"Test Driving App Found a trace of a bug:Tested in the comments wrote out everything that I think is a bug5) Does not see orders of some fares: Comfort; Comfort+; Porter; Beep; Aeroport; VIP in https://pm.maddevs.co/browse/NT-10808 you see the standard only because your account is Registered as Standard and other orders Can't you see it's not a bug.Tested; close"
5;12;19.5;2;819675;1;93;7200;When replenishing an account for a very large amount, the application crashes android client;2019;10;21;6;1;2.51923076923077;"When replenishing an account for a very large amount, the application crashes android client * There was incorrect text in the message; which was supposed to notify that the amount should not exceed the maximum amount. (corrected)Trusted; gave feedback; received a corrected version"
5;66;11.3333333333333;3;819673;1;93;9000;In the help section, SMS links are not fully active (android client);2019;10;21;6;1;2.53846153846154;In the help section, SMS links are not fully active (android client) * I think the link should be active when clicking on the number...Now the link is active and when you click on the texts...Checked and accepted by MR
5;86;11;2;819672;1;93;14400;"The ""Application tour"" section does not work (android client)";2019;10;21;6;1;2.55769230769231;"The ""Application tour"" section does not work (android client) - Since the ""Application tour"" tab was removed for a while; it did not work correctly.I checked; I accepted the MP; I'm closing the ticket"
5;77;4;2;819671;94;94;8100;Default values ​​do not work in Remote Config update check (Android Client);2019;10;21;6;1;2.57692307692308;Default values ​​do not work in Remote Config update check (Android Client) Added new values ​​for Remote ConfigAccepted MR
5;0;4;1;819666;94;94;31500;The language does not change when changing the language and night mode (Driver Taxi Android).;2019;10;21;9;1;2.61538461538462;The language does not change when changing the language and night mode (Driver Taxi Android). Not a priority. I close the task
5;0;15;1;819665;93;93;7200;Checklist testing of android client app and android driver app;2019;10;21;11;1;2.63461538461538;Checklist testing of android client app and android driver app Tested client application on android. All identified bugs were written in the comments in the checklist itself.
5;198;15;2;819663;1;1;7200;Add a mail check in the NT(Staging) Client Application;2019;10;21;12;1;2.65384615384615;"Add a mail check in the NT(Staging) Client Application * Added email verification. If the user tries to save the wrong email address; an Alert will come out that will remind you that you can’t save it like thatMR^ in dev branch"
5;319;5.5;2;819661;94;94;12600;Protest the driver's adjunct (According to the check list).;2019;10;21;16;1;2.67307692307692;"Protest the driver's adjunct (According to the check list). Tested according to the checklist; left featbacks in the checklistTested. close"
5;301;8;2;819659;94;94;5400;Test Airoport taxi (according to the checklist).;2019;10;21;17;1;2.69230769230769;Test Airoport taxi (according to the checklist). Tested on the checklist. As well as in the driver's (Discussed bugs with a mentor).Arthur handed over the customer
5;404;114.5;2;819655;1;54;66000;Problem when uploading company reports;2019;10;22;9;2;2.73076923076923;Problem when uploading company reports h2. *What was the problem*The problem was solved within the framework of task NT-10644. We will solve the problem with reports within the framework of NT-10848. I am closing this issue.
5;1312;13;5;819653;94;54;43200;Create a fixed field for the nearest order in the driver's application;2019;10;22;10;2;2.75;"Create a fixed field for the nearest order in the driver's application Finished adding this functionalityWe discussed the following with Eldar; Aisalkyn and Astashov:Implemented not as planned; I reopen the tasksent mr mentarI close the task because; according to the results of testing by the focus group; the feature was recognized as ineffective"
5;20;13;2;819651;93;54;21600;In the absence of the Internet, text is placed on the status bar in the client iOS application;2019;10;22;12;2;2.76923076923077;In the absence of the Internet, text is placed on the status bar in the client iOS application For a long time I could not figure out how to reproduce the bug - I thought that it was the iPhone version. Aisalkyn showed how to reproduce the bug. Prepared MR - sent Aysalkyn for verification.Accepted MR
5;0;11;1;819649;54;54;5100;Structure the documentation in the Mad Devs (Documentation) folder;2019;10;22;12;2;2.78846153846154;Structure the documentation in the Mad Devs (Documentation) folder Moved the documentation to the custom folder
5;2;7;2;819639;1;1;600;When opening the screen for uploading photos through the smartphone gallery in the Zendest chat, the status bar is not visible;2019;10;23;4;3;2.90384615384615;When opening the screen for uploading photos through the smartphone gallery in the Zendest chat, the status bar is not visible Aisalkyn already has this bug.Aisalkyn already has a ticket for this bug.
5;173;5;2;819636;94;1;4500;you need to check chat pushes from Zendesk, maybe they don't come. Also, there are no internal pushes on Zendesk either.;2019;10;23;4;3;2.92307692307692;"you need to check chat pushes from Zendesk, maybe they don't come. Also, there are no internal pushes on Zendesk either. Aisalkyn checked everythingI checked everything; everything works; I close the ticket"
5;132;13;2;819634;93;1;25200;2 pins on the map in the iOS client app;2019;10;23;4;3;2.94230769230769;"2 pins on the map in the iOS client app Fixed a bug with 2 pins; found an omission in the logic of the code - when the order was canceled; the card was not cleared -> as a result of which the bug occurred.Checked and accepted MR"
5;519;58;6;819633;8;1;5400;Android Constantly displays a badge about a read message from Zendesk.;2019;10;23;4;3;2.96153846153846;"Android Constantly displays a badge about a read message from Zendesk. The ticket was created on ios; on dew we removed all badges from zendesk and now no badge is displayed there in zendesk; but there is a problem in android; I will understand and renamed the ticket to the android platformFixed the display of badges[~Aisa Tashmatova]https://pm.maddevs.co/browse/NT-10832?focusedCommentId=66710&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-66710[Aisalkyn|https://app.slack.com/team/UB42A8YAF] [4 days ago|https://maddevs.slack.com/archives/GBQBCU58U/p1572603150003100?thread_ts=1572431516.001300&cid=GBQBCU58U]I close the ticket; because this is the usual behavior of the application and badges from the OKC; this is how the application works from the very beginning of the creation of the app"
5;98;22.5;2;819631;1;1;5400;On the screen for entering the activation code for registration, the number of the support service is incorrect.;2019;10;23;4;3;2.98076923076923;"On the screen for entering the activation code for registration, the number of the support service is incorrect. When tapping on this number; the number 0559976000 was copied to the ""Phone"" applicationAccepted MR^ staging changes in Virgo"
5;1223;14.8333333333333;6;819629;94;1;5100;After successful registration, there is no automatic location determination.;2019;10;23;4;3;3;After successful registration, there is no automatic location determination. The bug could not be reproduced. The tester also could not reproduce.This is a bugBug is not.[~eldar.akkozov]https://pm.maddevs.co/browse/NT-10834?focusedCommentId=66715&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-66715Couldn't replicate the bug. I close the task
5;0;0;0;819625;94;1;20700;When uploading an avatar through a smartphone camera, the upload of the taken photo is displayed upside down.;2019;10;23;4;3;3.03846153846154;When uploading an avatar through a smartphone camera, the upload of the taken photo is displayed upside down.
5;0;2;1;819623;1;1;5400;"On the registration screen / entering a phone number, the ""Public offer"" button is visually displayed as not clickable";2019;10;23;4;3;3.05769230769231;"On the registration screen / entering a phone number, the ""Public offer"" button is visually displayed as not clickable Accepted MR"
5;0;0;0;819621;1;1;3600;On the screens of registration - entering a phone number / confirmation of registration, titles are not translated into English;2019;10;23;4;3;3.07692307692308;On the screens of registration - entering a phone number / confirmation of registration, titles are not translated into English
5;132;10.5;2;819617;1;1;7200;Order statuses from the driver are not processed in the client application;2019;10;23;4;3;3.11538461538462;"Order statuses from the driver are not processed in the client application I tested it in the Android client application; there is no such bug...The task is closed; judging by the worklog; it was not possible to repeat the bug"
5;70;11.5;2;819616;1;1;7200;"If you place an order and specify the From and To pins, with the ""Car on the way"" status, all free cars are displayed on the map, when the one that took the order should be displayed.";2019;10;23;4;3;3.13461538461538;"If you place an order and specify the From and To pins, with the ""Car on the way"" status, all free cars are displayed on the map, when the one that took the order should be displayed. - Tested on the Android client application (Prod)I close the task. Bug not confirmed"
5;1109;36.5;2;819612;94;1;26100;Incorrect time zone in Zendesk settings when sending correspondence to a mailbox;2019;10;23;4;3;3.17307692307692;Incorrect time zone in Zendesk settings when sending correspondence to a mailbox * Understood where the bug comes from.Not a priority. close
5;2;9;2;819606;94;94;5400;Bug with sending a request to /apiv2/order_status (Client Android);2019;10;23;10;3;3.23076923076923;"Bug with sending a request to /apiv2/order_status (Client Android) Solved the bug added a check for the status and if the status of the order == false then the entire flow is turned off.checked; accepted MR;"
5;228;5.5;2;819604;94;94;9000;Set up Crashlytics for Airoport taxi;2019;10;23;14;3;3.25;"Set up Crashlytics for Airoport taxi Set up Crashlytic along with the airport taxi mentar.Checked; closing ticket"
5;1424;15.5;2;819602;1;54;10800;Fix excel report that is unloaded in the manager;2019;10;24;6;4;3.26923076923077;Fix excel report that is unloaded in the manager Discussed with Sezim (Namba Corp Accountant) about what actions they would need to take after correcting the upload of the report[^logs.txt]
5;1484;15.5;2;819596;94;94;10800;Fix text color in fixed nearest order. (driver app);2019;10;24;14;4;3.32692307692308;"Fix text color in fixed nearest order. (driver app) Fixed color added check for this next order.The task is completed; I'm closing; because the ticket is not relevant; the fixed fields will not be released; and all changes remain in the branch from the fixed field for now"
5;3;19.5;2;819594;1;54;6600;"Driver app not displaying ""Requirements"" icons";2019;10;25;2;5;3.34615384615385;"Driver app not displaying ""Requirements"" icons The error was that instead of generating a link to the icon from the database; only the path to the icon in the minio service was obtained. Fixed this error in MR https://gitlab.com/TaxiNamba/taxi-dashboard/merge_requests/609Code in master"
5;54;15;2;819592;1;1;7200;When changing the language in the client application, the texts in the headers are not translated;2019;10;25;5;5;3.36538461538462;When changing the language in the client application, the texts in the headers are not translated - Fixed a bug:Accepted MR^ changes in Virgo
5;22;7;2;819590;1;1;1800;Fix auto checkout error;2019;10;25;13;5;3.38461538461538;Fix auto checkout error MR with fix https://gitlab.com/TaxiNamba/taxi-dashboard/merge_requests/607Code in master
5;1;4;2;819587;54;54;9600;"Test the feature of auto-checkout of orders (""pass-through orders"") on the sales";2019;10;28;3;1;3.44230769230769;"Test the feature of auto-checkout of orders (""pass-through orders"") on the sales Documentation [^Feature - Autocheckout.pdf]Tested. Doka written"
5;6264;83.4;5;819585;1;54;30600;Integration with Paybox;2019;10;28;4;1;3.46153846153846;"Integration with Paybox Based on the results of studying the API + communication with the payBox developers; this is how we will implement it:Implementation score:*Assessing Paybox Initialization in Android App*At a meeting with Ksenia and Ulukman on October 29; it was decided to temporarily postpone the implementation of integration; since this is not currently a priorityTask closed due to project transfer"
